artist,track,popularity
Kendrick Lamar,luther (with sza),93
Kendrick Lamar,Not Like Us,95
Kendrick Lamar,All The Stars (with SZA),94
Kendrick Lamar,tv off (feat. lefty gunplay),93
Kendrick Lamar,Money Trees,84
Kendrick Lamar,HUMBLE.,89
Kendrick Lamar,squabble up,89
Kendrick Lamar,LOVE. FEAT. ZACARI.,87
Kendrick Lamar,30 For 30 (with Kendrick Lamar),87
Kendrick Lamar,Like That,87
Drake,NOKIA,94
Drake,One Dance,89
Drake,DIE TRYING,88
Drake,Passionfruit,87
Drake,She Will,82
Drake,God's Plan,85
Drake,WAIT FOR U (feat. Drake & Tems),85
Drake,Headlines,84
Drake,9,83
Drake,Jimmy Cooks (feat. 21 Savage),83
J. Cole,No Role Modelz,88
J. Cole,Work Out,83
J. Cole,Wet Dreamz,83
J. Cole,Power Trip (feat. Miguel),82
J. Cole,MIDDLE CHILD,80
J. Cole,The London (feat. J. Cole & Travis Scott),75
J. Cole,Love Yourz,77
J. Cole,First Person Shooter (feat. J. Cole),76
J. Cole,She Knows (feat. Amber Coffman & Cults),77
J. Cole,cLOUDs,77
